unique_well,treatment,mu,best.model,best.se
1_C10_42,48F_2,-0.4062738450509476,gr,0.3314673437702633
1_C11_42,14C_8,-0.7656340677438785,gr,0.519694307091105
1_C2_42,6F_5,-0.42348370208083813,gr,0.275124859989769
1_C3_42,30C_4,-1.0043082085236072,gr,0.491112975177456
1_C4_42,6F_6,-0.6421456051789975,gr,0.2907641682037587
1_C6_42,48F_7,-0.8084556952634846,gr,0.34710764323812854
1_C7_42,48F_8,-0.7940985703123772,gr,0.4503356663999841
1_C8_42,48F_4,-0.6538600447598073,gr,0.46405424787126687
1_C9_42,30C_1,-0.6860648464509969,gr,0.5006129423515634
1_D10_42,14C_3,-1.0778522526621883,gr,0.5058004076633474
1_D11_42,6F_3,-0.44663855093031674,gr,0.4459968536203506
1_D2_42,14C_6,-1.2139653965150985,gr,0.43049573235092103
1_D3_42,30C_3,-0.7625859046195933,gr,0.42768847952273575
1_D4_42,48F_2,-0.5468945093269054,gr,0.3840199586106851
1_D5_42,14C_2,-1.0371268523284678,gr,0.3869550801579968
1_D6_42,14C_5,-1.156613004625298,gr,0.35596903241406463
1_D7_42,6F_3,-0.7943851166527456,gr,0.37107510666676924
1_D8_42,6F_1,-0.415262253231092,gr,0.4262841998818072
1_D9_42,30C_1,-0.6136534410066358,gr,0.6047167875445758
1_E10_42,48F_8,-0.3807130430600477,gr,0.48116926593497955
1_E11_42,14C_8,-0.8590805693403706,gr,0.48846275580385223
1_E2_42,14C_4,-1.0283044409506479,gr,0.4153712187669438
1_E3_42,6F_2,-0.4827038508116851,gr,0.33146852533201954
1_E4_42,6F_8,-0.32668621334980613,gr,0.27984495500043743
1_E5_42,30C_7,-0.8247594554785909,gr,0.36305216665624174
1_E6_42,48F_3,-0.7214246639572108,gr,0.41675863757665527
1_E7_42,30C_4,-0.7302290120185516,gr,0.43668258895382117
1_E8_42,48F_4,-0.5087768108102416,gr,0.4525289415978948
1_E9_42,6F_8,-0.6091485872220258,gr,0.44459483820067286
1_F10_42,48F_4,-0.32066221225822966,gr,0.45189261798130653
1_F2_42,30C_4,-0.6377377114461414,gr,0.40479160956573584
1_F3_42,6F_2,-0.5539966768343653,gr,0.3889643714322598
1_F4_42,30C_2,-0.7493754413292457,gr,0.4438971000946073
