unique_well,treatment,mu,best.model,best.se
1_A10_12,blank_blank,-0.052878229590601226,gr,0.02295478686964536
1_A10_14,blank_blank,-0.019035538810191197,gr,0.02535113295156478
1_A10_20,blank_blank,-0.03294562145225318,gr,0.034939952350530476
1_A10_25,blank_blank,-0.018277033029528125,gr,0.03603051579660331
1_A10_30,blank_blank,-0.21861889806481774,gr,0.07161137018836149
1_A10_36,blank_blank,0.048729256338703744,gr,0.04668680712537411
1_A10_38,blank_blank,-0.07556690676516085,gr,0.06170845552077887
1_A10_42,blank_blank,0.059426777906523155,gr,0.13077621157409913
1_A11_12,blank_blank,-0.013791584171817183,gr,0.016651357333418392
1_A11_14,blank_blank,-0.10995998040111597,gr.flr,0.050348685493894214
1_A11_20,blank_blank,-0.17386111513330033,gr.flr,0.06522314683163744
1_A11_25,blank_blank,-0.014506019414982179,gr,0.06021419066329977
1_A11_30,blank_blank,-0.021065490326253933,gr,0.04996820947259371
1_A11_36,blank_blank,-0.021362514006392268,gr,0.07336033607822304
1_A11_38,blank_blank,5.344007549456315e-4,gr,0.05778635611588819
1_A11_42,blank_blank,-0.07427900330231826,gr,0.16614176996516927
1_A12_12,blank_blank,-0.0068089403777826475,gr,0.022201833414076395
1_A12_14,blank_blank,-7.614635082344122e-4,gr,0.026685208960486814
1_A12_20,blank_blank,-0.017801156363095285,gr,0.04235665004408272
1_A12_25,blank_blank,0.06832467595214481,gr,0.050684995297143036
1_A12_30,blank_blank,-0.5808042141295598,gr.flr,0.26916898697433583
1_A12_36,blank_blank,-0.012025884540867341,gr,0.03782220268822773
1_A12_38,blank_blank,0.02455894575206166,gr,0.05069937376469035
1_A12_42,blank_blank,-0.07368472651862092,gr,0.11586274895717538
1_A1_12,blank_blank,-0.09525712761915472,gr.flr,0.045092476781500565
1_A1_14,blank_blank,-0.12458851739414015,gr.flr,0.06217842568870684
1_A1_20,blank_blank,-0.06399415793940993,gr,0.03909791467457345
1_A1_25,blank_blank,-0.0880094748474415,gr,0.056054134737724956
1_A1_30,blank_blank,-0.030337331706067713,gr,0.0443365493470688
1_A1_36,blank_blank,0.01769757476313333,gr,0.03939160573612306
1_A1_38,blank_blank,-0.020341705304254394,gr,0.0656107429154024
1_A1_42,blank_blank,-0.15065458036454968,gr,0.24048919136069485
1_A2_12,blank_blank,-0.06514954987209814,gr,0.018996720141678743
1_A2_14,blank_blank,-0.04759983041717955,gr,0.022962583270165923
1_A2_20,blank_blank,-0.015364835600335813,gr,0.03825098514015927
