plate,well,number,treatment,flask
1,A1,1,blank,blank
1,A2,2,blank,blank
1,A3,3,blank,blank
1,A4,4,blank,blank
1,A5,5,blank,blank
1,A6,6,blank,blank
1,A7,7,blank,blank
1,A8,8,blank,blank
1,A9,9,blank,blank
1,A10,10,blank,blank
1,A11,11,blank,blank
1,A12,12,blank,blank
1,B1,13,blank,blank
1,B2,14,blank,blank
1,B3,15,blank,blank
1,B4,16,blank,blank
1,B5,17,blank,blank
1,B6,18,blank,blank
1,B7,19,blank,blank
1,B8,20,blank,blank
1,B9,21,blank,blank
1,B10,22,blank,blank
1,B11,23,blank,blank
1,B12,24,blank,blank
1,C1,25,blank,blank
1,C2,26,6F,5
1,C3,27,30C,4
1,C4,28,6F,6
1,C5,29,blank,blank
1,C6,30,48F,7
1,C7,31,48F,8
1,C8,32,48F,4
1,C9,33,30C,1
1,C10,34,48F,2
1,C11,35,14C,8
1,C12,36,blank,blank
1,D1,37,blank,blank
1,D2,38,14C,6
1,D3,39,30C,3
1,D4,40,48F,2
1,D5,41,14C,2
1,D6,42,14C,5
1,D7,43,6F,3
1,D8,44,6F,1
1,D9,45,30C,1
1,D10,46,14C,3
1,D11,47,6F,3
1,D12,48,blank,blank
1,E1,49,blank,blank
1,E2,50,14C,4
1,E3,51,6F,2
1,E4,52,6F,8
1,E5,53,30C,7
1,E6,54,48F,3
1,E7,55,30C,4
1,E8,56,48F,4
1,E9,57,6F,8
1,E10,58,48F,8
1,E11,59,14C,8
1,E12,60,blank,blank
1,F1,61,blank,blank
1,F2,62,30C,4
1,F3,63,6F,2
1,F4,64,30C,2
1,F5,65,6F,4
1,F6,66,6F,6
1,F7,67,14C,7
1,F8,68,30C,8
1,F9,69,30C,5
1,F10,70,48F,4
1,F11,71,blank,blank
1,F12,72,blank,blank
1,G1,73,blank,blank
1,G2,74,30C,7
1,G3,75,6F,6
1,G4,76,48F,7
1,G5,77,30C,6
1,G6,78,48F,3
1,G7,79,6F,4
1,G8,80,6F,1
1,G9,81,48F,3
1,G10,82,48F,2
1,G11,83,6F,5
1,G12,84,blank,blank
1,H1,85,blank,blank
1,H2,86,blank,blank
1,H3,87,blank,blank
1,H4,88,blank,blank
1,H5,89,blank,blank
1,H6,90,blank,blank
1,H7,91,blank,blank
1,H8,92,blank,blank
1,H9,93,blank,blank
1,H10,94,blank,blank
1,H11,95,blank,blank
1,H12,96,blank,blank
2,A1,97,blank,blank
2,A2,98,blank,blank
2,A3,99,blank,blank
2,A4,100,blank,blank
2,A5,101,blank,blank
2,A6,102,blank,blank
2,A7,103,blank,blank
2,A8,104,blank,blank
2,A9,105,blank,blank
2,A10,106,blank,blank
2,A11,107,blank,blank
2,A12,108,blank,blank
2,B1,109,blank,blank
2,B2,110,blank,blank
2,B3,111,blank,blank
2,B4,112,blank,blank
2,B5,113,blank,blank
2,B6,114,blank,blank
2,B7,115,blank,blank
2,B8,116,blank,blank
2,B9,117,blank,blank
2,B10,118,blank,blank
2,B11,119,blank,blank
2,B12,120,blank,blank
2,C1,121,blank,blank
2,C2,122,30C,5
2,C3,123,blank,blank
2,C4,124,6F,3
2,C5,125,48F,5
2,C6,126,30C,8
2,C7,127,6F,1
2,C8,128,14C,6
2,C9,129,14C,5
2,C10,130,30C,5
2,C11,131,30C,2
2,C12,132,blank,blank
2,D1,133,blank,blank
2,D2,134,14C,7
2,D3,135,48F,5
2,D4,136,30C,8
2,D5,137,14C,4
2,D6,138,48F,7
2,D7,139,48F,6
2,D8,140,30C,6
2,D9,141,14C,1
2,D10,142,6F,5
2,D11,143,14C,5
2,D12,144,blank,blank
2,E1,145,blank,blank
2,E2,146,14C,4
2,E3,147,6F,4
2,E4,148,14C,7
2,E5,149,30C,3
2,E6,150,6F,7
2,E7,151,14C,1
2,E8,152,14C,6
2,E9,153,48F,1
2,E10,154,14C,8
2,E11,155,30C,6
2,E12,156,blank,blank
2,F1,157,blank,blank
2,F2,158,6F,8
2,F3,159,6F,7
2,F4,160,48F,5
2,F5,161,48F,1
2,F6,162,30C,7
2,F7,163,48F,1
2,F8,164,14C,3
2,F9,165,blank,blank
2,F10,166,6F,2
2,F11,167,30C,1
2,F12,168,blank,blank
2,G1,169,blank,blank
2,G2,170,6F,7
2,G3,171,14C,3
2,G4,172,30C,2
2,G5,173,48F,6
2,G6,174,14C,2
2,G7,175,48F,8
2,G8,176,14C,2
2,G9,177,48F,6
2,G10,178,30C,3
2,G11,179,14C,1
2,G12,180,blank,blank
2,H1,181,blank,blank
2,H2,182,blank,blank
2,H3,183,blank,blank
2,H4,184,blank,blank
2,H5,185,blank,blank
2,H6,186,blank,blank
2,H7,187,blank,blank
2,H8,188,blank,blank
2,H9,189,blank,blank
2,H10,190,blank,blank
2,H11,191,blank,blank
2,H12,192,blank,blank
